class;path;shape;pose;texture;context;weather
car;n02814533_10069_0.JPEG;;;;;
car;n02814533_1015_0.JPEG;;;;;
car;n02814533_10245_0.JPEG;;;;;
car;n02814533_10251_0.JPEG;;;;;
car;n02814533_10290_0.JPEG;;;;;
car;n02814533_10294_0.JPEG;;;;;
car;n02814533_10404_0.JPEG;;;;;
car;n02814533_10572_0.JPEG;;;;;
car;n02814533_10594_0.JPEG;;;;;
car;n02814533_10637_0.JPEG;;;;;
car;n02814533_10818_0.JPEG;;;;;
car;n02814533_10911_0.JPEG;;;;;
car;n02814533_10971_0.JPEG;;;;;
car;n02814533_10995_0.JPEG;;;;;
car;n02814533_11056_0.JPEG;;;;;
car;n02814533_11078_0.JPEG;;;;;
car;n02814533_11273_0.JPEG;;;;;
car;n02814533_11362_0.JPEG;;;;;
car;n02814533_11391_0.JPEG;;;;;
car;n02814533_11561_0.JPEG;;;;;
car;n02814533_1178_0.JPEG;;;;;
car;n02814533_11983_0.JPEG;;;;;
car;n02814533_11997_0.JPEG;;;;;
car;n02814533_12311_0.JPEG;;;;;
car;n02814533_12546_0.JPEG;;;;;
car;n02814533_126_0.JPEG;;;;;
car;n02814533_12731_0.JPEG;;;;;
car;n02814533_1292_0.JPEG;;;;;
car;n02814533_12979_0.JPEG;;;;;
car;n02814533_13055_0.JPEG;;;;;
car;n02814533_13155_0.JPEG;;;;;
car;n02814533_13278_0.JPEG;;;;;
car;n02814533_13301_0.JPEG;;;;;
car;n02814533_1344_0.JPEG;;;;;
car;n02814533_1354_0.JPEG;;;;;
car;n02814533_13662_0.JPEG;;;;;
car;n02814533_1392_0.JPEG;;;;;
car;n02814533_13947_0.JPEG;;;;;
car;n02814533_14121_0.JPEG;;;;;
car;n02814533_14554_0.JPEG;;;;;
car;n02814533_14632_0.JPEG;;;;;
car;n02814533_14653_0.JPEG;;;;;
car;n02814533_14756_0.JPEG;;;;;
car;n02814533_14771_0.JPEG;;;;;
car;n02814533_15146_0.JPEG;;;;;
car;n02814533_15300_0.JPEG;;;;;
car;n02814533_15544_0.JPEG;;;;;
car;n02814533_15689_0.JPEG;;;;;
car;n02814533_15771_0.JPEG;;;;;
car;n02814533_15976_0.JPEG;;;;;
car;n02814533_1609_0.JPEG;;;;;
car;n02814533_16431_0.JPEG;;;;;
car;n02814533_16473_0.JPEG;;;;;
car;n02814533_1669_0.JPEG;;;;;
car;n02814533_16835_0.JPEG;;;;;
car;n02814533_16978_0.JPEG;;;;;
car;n02814533_1750_0.JPEG;;;;;
car;n02814533_17560_0.JPEG;;;;;
car;n02814533_1757_0.JPEG;;;;;
car;n02814533_17573_0.JPEG;;;;;
car;n02814533_17866_0.JPEG;;;;;
car;n02814533_17956_0.JPEG;;;;;
car;n02814533_17991_0.JPEG;;;;;
car;n02814533_18060_0.JPEG;;;;;
car;n02814533_18068_0.JPEG;;;;;
car;n02814533_18077_0.JPEG;;;;;
car;n02814533_18128_0.JPEG;;;;;
car;n02814533_18183_0.JPEG;;;;;
car;n02814533_18318_0.JPEG;;;;;
car;n02814533_1835_0.JPEG;;;;;
car;n02814533_1838_0.JPEG;;;;;
car;n02814533_18458_0.JPEG;;;;;
car;n02814533_1871_0.JPEG;;;;;
car;n02814533_18874_0.JPEG;;;;;
car;n02814533_19407_0.JPEG;;;;;
car;n02814533_19745_0.JPEG;;;;;
car;n02814533_20022_0.JPEG;;;;;
car;n02814533_2020_0.JPEG;;;;;
car;n02814533_2054_0.JPEG;;;;;
car;n02814533_2054_1.JPEG;;;;;
car;n02814533_20806_0.JPEG;;;;;
car;n02814533_20833_0.JPEG;;;;;
car;n02814533_20940_0.JPEG;;;;;
car;n02814533_211_0.JPEG;0;1;1;0;0
car;n02814533_21254_0.JPEG;;;;;
car;n02814533_2168_0.JPEG;;;;;
car;n02814533_21748_0.JPEG;;;;;
car;n02814533_21859_0.JPEG;;;;;
car;n02814533_2188_0.JPEG;;;;;
car;n02814533_21949_0.JPEG;;;;;
car;n02814533_21955_0.JPEG;;;;;
car;n02814533_21965_0.JPEG;;;;;
car;n02814533_2207_0.JPEG;;;;;
car;n02814533_22108_0.JPEG;;;;;
car;n02814533_22148_0.JPEG;;;;;
car;n02814533_22260_0.JPEG;;;;;
car;n02814533_22292_0.JPEG;;;;;
car;n02814533_2233_0.JPEG;;;;;
car;n02814533_22333_0.JPEG;;;;;
car;n02814533_22343_0.JPEG;;;;;
car;n02814533_22580_0.JPEG;;;;;
car;n02814533_22675_0.JPEG;;;;;
car;n02814533_2271_0.JPEG;;;;;
car;n02814533_22730_0.JPEG;;;;;
car;n02814533_22780_0.JPEG;;;;;
car;n02814533_22889_0.JPEG;;;;;
car;n02814533_23098_0.JPEG;;;;;
car;n02814533_23154_0.JPEG;;;;;
car;n02814533_23212_0.JPEG;;;;;
car;n02814533_23563_0.JPEG;;;;;
car;n02814533_23903_0.JPEG;;;;;
car;n02814533_240_0.JPEG;0;0;0;0;0
car;n02814533_24007_0.JPEG;;;;;
car;n02814533_2417_0.JPEG;;;;;
car;n02814533_24181_0.JPEG;;;;;
car;n02814533_24285_0.JPEG;;;;;
car;n02814533_24286_0.JPEG;;;;;
car;n02814533_245_0.JPEG;0;1;0;0;0
car;n02814533_2496_0.JPEG;;;;;
car;n02814533_24980_0.JPEG;;;;;
car;n02814533_2517_0.JPEG;;;;;
car;n02814533_25416_0.JPEG;;;;;
car;n02814533_25584_0.JPEG;;;;;
car;n02814533_25687_0.JPEG;;;;;
car;n02814533_259_0.JPEG;0;1;1;0;0
car;n02814533_26406_0.JPEG;;;;;
car;n02814533_26417_0.JPEG;;;;;
car;n02814533_26450_0.JPEG;;;;;
car;n02814533_26516_0.JPEG;;;;;
car;n02814533_2654_0.JPEG;;;;;
car;n02814533_2675_0.JPEG;;;;;
car;n02814533_26761_0.JPEG;;;;;
car;n02814533_26766_0.JPEG;;;;;
car;n02814533_27090_0.JPEG;;;;;
car;n02814533_27150_0.JPEG;;;;;
car;n02814533_27187_0.JPEG;;;;;
car;n02814533_27187_1.JPEG;;;;;
car;n02814533_27236_0.JPEG;;;;;
car;n02814533_27246_0.JPEG;;;;;
car;n02814533_27327_0.JPEG;;;;;
car;n02814533_27344_0.JPEG;;;;;
car;n02814533_27379_0.JPEG;;;;;
car;n02814533_2746_0.JPEG;;;;;
car;n02814533_27502_0.JPEG;;;;;
car;n02814533_27507_0.JPEG;;;;;
car;n02814533_27507_1.JPEG;;;;;
car;n02814533_27597_0.JPEG;;;;;
car;n02814533_27724_0.JPEG;;;;;
car;n02814533_27902_0.JPEG;;;;;
car;n02814533_2792_0.JPEG;;;;;
car;n02814533_27983_0.JPEG;;;;;
car;n02814533_27994_0.JPEG;;;;;
car;n02814533_2802_0.JPEG;;;;;
car;n02814533_28215_0.JPEG;;;;;
car;n02814533_28371_0.JPEG;;;;;
car;n02814533_2847_0.JPEG;;;;;
car;n02814533_2856_0.JPEG;;;;;
car;n02814533_2867_0.JPEG;;;;;
car;n02814533_28783_0.JPEG;;;;;
car;n02814533_2880_0.JPEG;;;;;
car;n02814533_28938_0.JPEG;;;;;
car;n02814533_29325_0.JPEG;;;;;
car;n02814533_29334_0.JPEG;;;;;
car;n02814533_29367_0.JPEG;;;;;
car;n02814533_29484_0.JPEG;;;;;
car;n02814533_29516_0.JPEG;;;;;
car;n02814533_29801_0.JPEG;;;;;
car;n02814533_29925_0.JPEG;;;;;
car;n02814533_29990_0.JPEG;;;;;
car;n02814533_30247_0.JPEG;;;;;
car;n02814533_30311_0.JPEG;;;;;
car;n02814533_30313_0.JPEG;;;;;
car;n02814533_30457_0.JPEG;;;;;
car;n02814533_31133_0.JPEG;;;;;
car;n02814533_3121_0.JPEG;;;;;
car;n02814533_31323_0.JPEG;;;;;
car;n02814533_3137_0.JPEG;;;;;
car;n02814533_31430_0.JPEG;;;;;
car;n02814533_31493_0.JPEG;;;;;
car;n02814533_3157_0.JPEG;;;;;
car;n02814533_3164_0.JPEG;;;;;
car;n02814533_31973_0.JPEG;;;;;
car;n02814533_32253_0.JPEG;;;;;
car;n02814533_32337_0.JPEG;;;;;
car;n02814533_32693_0.JPEG;;;;;
car;n02814533_32782_0.JPEG;;;;;
car;n02814533_32897_0.JPEG;;;;;
car;n02814533_32924_0.JPEG;;;;;
car;n02814533_3303_0.JPEG;;;;;
car;n02814533_33384_0.JPEG;;;;;
car;n02814533_33576_0.JPEG;;;;;
car;n02814533_33920_0.JPEG;;;;;
car;n02814533_3393_0.JPEG;;;;;
car;n02814533_3402_0.JPEG;;;;;
car;n02814533_34143_0.JPEG;;;;;
car;n02814533_34149_0.JPEG;;;;;
car;n02814533_34317_0.JPEG;;;;;
car;n02814533_34383_0.JPEG;;;;;
car;n02814533_34396_0.JPEG;;;;;
car;n02814533_34461_0.JPEG;;;;;
car;n02814533_34562_0.JPEG;;;;;
car;n02814533_34667_0.JPEG;;;;;
car;n02814533_34690_0.JPEG;;;;;
car;n02814533_34713_0.JPEG;;;;;
car;n02814533_3497_0.JPEG;;;;;
car;n02814533_35_0.JPEG;0;0;0;0;0
car;n02814533_3502_0.JPEG;;;;;
car;n02814533_3507_0.JPEG;;;;;
car;n02814533_35102_0.JPEG;;;;;
car;n02814533_35156_0.JPEG;;;;;
car;n02814533_35230_0.JPEG;;;;;
car;n02814533_35279_0.JPEG;;;;;
car;n02814533_3537_0.JPEG;;;;;
car;n02814533_35442_0.JPEG;;;;;
car;n02814533_3554_0.JPEG;;;;;
car;n02814533_35863_0.JPEG;;;;;
car;n02814533_35888_0.JPEG;;;;;
car;n02814533_36206_0.JPEG;;;;;
car;n02814533_3624_0.JPEG;;;;;
car;n02814533_36330_0.JPEG;;;;;
car;n02814533_36383_0.JPEG;;;;;
car;n02814533_36898_0.JPEG;;;;;
car;n02814533_36916_0.JPEG;;;;;
car;n02814533_36971_0.JPEG;;;;;
car;n02814533_37055_0.JPEG;;;;;
car;n02814533_37110_0.JPEG;;;;;
car;n02814533_37371_0.JPEG;;;;;
car;n02814533_37381_0.JPEG;;;;;
car;n02814533_37715_0.JPEG;;;;;
car;n02814533_37736_0.JPEG;;;;;
car;n02814533_37747_0.JPEG;;;;;
car;n02814533_3789_0.JPEG;;;;;
car;n02814533_38071_0.JPEG;;;;;
car;n02814533_38087_0.JPEG;;;;;
car;n02814533_38090_0.JPEG;;;;;
car;n02814533_38295_0.JPEG;;;;;
car;n02814533_38313_0.JPEG;;;;;
car;n02814533_3843_0.JPEG;;;;;
car;n02814533_38517_0.JPEG;;;;;
car;n02814533_38596_0.JPEG;;;;;
car;n02814533_38862_0.JPEG;;;;;
car;n02814533_38900_0.JPEG;;;;;
car;n02814533_38904_0.JPEG;;;;;
car;n02814533_39365_0.JPEG;;;;;
car;n02814533_39818_0.JPEG;;;;;
